Rebalance_Date,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASHOKLEY,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BANKBARODA,BANKINDIA,BHARATFORG,BHARTIARTL,BHEL,BOSCHLTD,BPCL,CAIRN,CANBK,CIPLA,COALINDIA,COLPAL,CONCOR,CROMPGREAV,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,EXIDEIND,FEDERALBNK,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GSKCONS,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,IDBI,IDEA,IDFC,INDHOTEL,INDUSINDBK,INFY,ITC,JINDALSTEL,JPASSOCIAT,JSWSTEEL,KOTAKBANK,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MCDOWELL-N,MPHASIS,NMDC,NTPC,OFSS,ONGC,PETRONET,PFC,PNB,POWERGRID,RANBAXY,RCOM,RECLTD,RELCAPITAL,RELIANCE,RELINFRA,RPOWER,SAIL,SBIN,SESAGOA,SIEMENS,SRTRANSFIN,SUNPHARMA,TATACHEM,TATAGLOBAL,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,UBL,ULTRACEMCO,UNIONBANK,UNIPHOS,YESBANK,ZEEL,M&MFIN,OIL,WIPRO,SSLT,UPL,INFRATEL,INGVYSYABK,AUROPHARMA,MOTHERSUMI,EICHERMOT,IBULHSGFIN,BRITANNIA,MRF,VEDL,MARICO,SUNDARMFIN,IOC,ABB,BAJFINANCE,BEL,CADILAHC,CASTROLIND,EMAMILTD,HINDZINC,NHPC,PGHH,PIDILITIND,SHREECEM,TATAMTRDVR,TORNTPHARM,INDIGO,PEL,HAVELLS,ICICIPRULI,SUNTV,DMART,ABCAPITAL,GICRE,L&TFH,SBILIFE,BANDHANBNK,BIOCON,HDFCLIFE,ICICIGI,NIACL,HDFCAMC,PAGEIND,BERGEPAINT,NESTLEIND,ADANITRANS,ABBOTINDIA,IGL,NAUKRI,MUTHOOTFIN,SBICARD,ADANIGREEN,ALKEM,LTI,TATACONSUM,INDUSTOWER,JUBLFOOD
31-05-2013,0.25,0.5,0.24,0.3,0.61,0.34,0.14,0.97,1.95,1.08,0.17,0.25,0.54,0.27,0.14,1.59,0.7,0.36,0.43,0.74,0.26,0.83,0.9,0.43,0.24,0.15,0.27,0.38,0.27,0.31,1.17,0.28,0.34,0.61,0.46,0.36,0.47,0.8,0.3,0.87,6.07,5.67,0.73,0.58,0.21,2.68,5.87,0.12,0.46,0.79,0.11,0.96,5.13,8.22,0.48,0.35,0.31,1.31,0.34,3.34,0.77,1.96,0.9,1,0.16,0.41,1.4,0.19,2.56,0.19,0.28,0.5,0.71,0.26,0.31,0.32,0.16,5.83,0.22,0.21,0.2,2.33,0.28,0.23,0.61,1.73,0.23,0.26,2.44,0.63,0.86,3.37,0.29,0.54,0.22,0.84,0.24,0.22,0.57,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-06-2013,0.26,0.52,0.26,0.31,0.65,0.36,0.12,0.95,1.86,1.17,0.17,0.22,0.49,0.23,0.14,1.58,0.62,0.37,0.43,0.78,0.23,0.9,0.87,0.41,0.23,0.15,0.28,0.38,0.29,0.31,1.27,0.25,0.32,0.64,0.44,0.35,0.46,0.8,0.27,0.93,6.17,5.58,0.72,0.58,0.19,2.73,5.6,0.11,0.52,0.72,0.11,0.9,5.46,8.07,0.38,0.3,0.3,1.27,0.35,3.46,0.84,2.02,0.92,0.92,0.12,0.38,1.34,0.26,2.66,0.17,0.23,0.44,0.71,0.22,0.36,0.3,0.17,6.42,0.21,0.21,0.19,2.28,0.25,0.22,0.54,1.73,0.22,0.24,2.27,0.63,0.83,3.51,0.32,0.42,0.22,0.86,0.21,0.19,0.56,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-07-2013,0.29,0.51,0.22,0.27,0.59,0.33,0.08,1.07,1.49,1.21,0.16,0.23,0.49,0.18,0.13,1.91,0.58,0.38,0.39,0.81,0.18,0.94,0.83,0.43,0.22,0.15,0.27,0.41,0.28,0.27,1.34,0.26,0.28,0.63,0.46,0.38,0.46,0.78,0.25,1.15,5.78,5.22,0.81,0.54,0.16,2.01,4.87,0.1,0.63,0.63,0.1,0.76,6.65,8.71,0.36,0.21,0.31,1.18,0.23,3.2,0.96,1.95,0.82,1.04,0.14,0.36,1.25,0.29,2.39,0.16,0.17,0.39,0.67,0.21,0.43,0.24,0.18,6.65,0.21,0.24,0.16,2.05,0.23,0.21,0.49,1.98,0.21,0.3,2.41,0.66,0.67,4.3,0.85,0.51,0.21,0.87,0.16,0.19,0.4,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-08-2013,0.3,0.44,0.19,0.32,0.64,0.32,0.08,0.93,1.26,1.2,0.17,0.24,0.42,0.15,0.16,1.74,0.46,0.36,0.34,0.93,0.14,1.03,0.78,0.39,0.24,0.15,0.26,0.44,0.31,0.28,1.42,0.28,0.21,0.65,0.48,0.35,0.49,0.7,0.23,1.35,5.46,5.36,0.95,0.66,0.14,2.18,4.53,0.1,0.63,0.49,0.11,0.74,7.31,8.28,0.41,0.2,0.31,1.22,0.24,2.88,0.93,1.76,0.8,0.94,0.15,0.46,1.32,0.3,2.15,0.18,0.18,0.31,0.68,0.31,0.4,0.27,0.17,6.85,0.23,0.23,0.19,1.91,0.36,0.19,0.43,1.92,0.21,0.27,2.63,0.59,0.89,5.06,0.99,0.46,0.23,0.73,0.12,0.21,0.32,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2013,0.31,0.47,0.18,0.32,0.63,0.32,0,0.94,1.42,1.21,0.16,0.22,0.42,0.15,0.15,1.72,0.49,0.37,0.39,0.86,0.14,1,0.84,0.38,0.23,0.14,0.25,0.42,0.28,0.26,1.37,0.27,0.22,0.67,0.47,0.34,0.47,0.76,0.23,1.31,5.41,4.98,0.87,0.65,0.14,2.02,4.63,0.1,0.62,0.49,0,0.71,6.6,8.5,0.41,0.19,0.39,1.17,0.26,2.91,0.93,1.73,0.82,1,0.15,0.43,1.38,0.29,2.15,0.16,0.21,0.31,0.63,0.23,0.44,0.28,0.16,6.14,0,0.22,0.19,1.89,1.01,0.19,0.44,2.03,0.19,0.26,2.71,0.59,0.82,4.46,0.9,0.44,0.26,0.83,0.13,0.21,0.35,0.57,0.32,0.27,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-10-2013,0.28,0.44,0.24,0.31,0.6,0.29,0,1.01,1.57,1.18,0.16,0.21,0.5,0.19,0.17,1.81,0.46,0.33,0.38,0.77,0.15,0.87,0.75,0.34,0.23,0.16,0.22,0.4,0.26,0.28,1.29,0.24,0.29,0.66,0.42,0.33,0.45,0.74,0.22,1.21,5.51,5.21,0.82,0.61,0.14,1.79,5.36,0.11,0.58,0.54,0,0.78,6.61,7.63,0.38,0.24,0.42,1.18,0.28,3.28,0.88,1.69,0.9,0.93,0.13,0.46,1.27,0.28,2.15,0.15,0.19,0.34,0.59,0.25,0.4,0.26,0.17,6.22,0,0.21,0.21,1.92,0,0.21,0.43,1.9,0.19,0.27,2.84,0.55,0.92,4.46,0.95,0.46,0.26,0.83,0.13,0,0.41,0.6,0.32,0.27,1.29,1.03,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-11-2013,0.28,0.43,0.3,0.34,0.59,0.27,0,0.96,1.5,1.11,0.18,0.22,0.51,0.19,0.16,1.63,0.52,0.33,0.37,0.8,0.15,0.83,0.72,0.35,0.22,0.19,0.25,0.38,0.31,0.28,1.32,0.22,0.28,0.64,0.44,0.3,0.46,0.71,0.22,1.21,5.38,5.13,1.03,0.66,0.15,1.77,5.17,0.1,0.59,0.55,0,0.75,6.79,7.41,0.41,0.28,0.45,1.21,0.26,3.57,0.86,1.83,0.93,0.88,0.12,0.44,1.27,0.27,2.22,0.17,0.23,0.34,0.56,0.27,0.39,0.31,0.18,5.88,0,0.21,0.24,1.97,0,0.23,0.42,1.81,0.2,0.25,3.01,0.53,1.12,4.29,1.05,0.4,0.22,0.81,0.13,0,0.41,0.59,0.34,0.28,1.29,0.95,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-12-2013,0.27,0.42,0.29,0.33,0.57,0.29,0,0.91,1.64,1.05,0.18,0.22,0.49,0.21,0.17,1.6,0.57,0.37,0.37,0.78,0.16,0.83,0.75,0.37,0.21,0.19,0.27,0.38,0.32,0.3,1.31,0.23,0.29,0.63,0.51,0.31,0.44,0.7,0.21,1.37,5.05,5.03,1.02,0.64,0.16,1.65,5.17,0.1,0.55,0.56,0,0.73,6.87,7.24,0.41,0.27,0.49,1.13,0.27,3.56,0.88,1.77,0.95,0.86,0.13,0.46,1.15,0.28,2.09,0.15,0.24,0.38,0.9,0.29,0.35,0.3,0.17,6,0,0.21,0.24,1.86,0,0.24,0.46,1.74,0.2,0.26,2.76,0.6,1.15,4.52,1.11,0.39,0.21,0.73,0.13,0,0.41,0.62,0.36,0.27,1.49,1.02,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2014,0.25,0.4,0.28,0.32,0.52,0.3,0,0.91,1.48,1.09,0.17,0.24,0.44,0.17,0.18,1.59,0.58,0.35,0.4,0.82,0.14,0.89,0.66,0.37,0.22,0.18,0.25,0.4,0.36,0.26,1.41,0.2,0.29,0.68,0.53,0.33,0.4,0.69,0.21,1.66,5.36,4.95,1,0.6,0.17,1.72,4.85,0.09,0.49,0.5,0,0.69,7.6,7.63,0.4,0.21,0.46,1.06,0.25,3.41,0.89,1.74,0.92,0.85,0.12,0.49,1.11,0.29,2.07,0.14,0.2,0.36,0.89,0.21,0.35,0.25,0.16,5.81,0,0.19,0.23,1.67,0,0.21,0.45,1.88,0.2,0.24,2.67,0.5,1.01,4.86,1.13,0.39,0.24,0.74,0.12,0,0.35,0.62,0.28,0.27,1.6,0.99,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-02-2014,0.24,0.43,0.29,0.36,0.53,0.29,0,0.88,1.62,1.08,0.18,0.24,0.43,0.15,0.2,1.41,0.55,0.35,0.4,0.79,0.13,0.8,0.64,0.36,0.23,0.19,0.28,0.39,0.37,0.26,1.51,0.21,0.27,0.69,0.52,0.33,0.4,0.67,0.21,1.74,5.27,5.11,0.97,0.56,0.18,1.6,4.97,0.09,0.43,0.49,0,0.7,7.61,7.46,0.37,0.21,0.42,1.07,0.26,3.72,0.98,1.85,0.87,0.78,0.12,0.42,0.95,0.27,2.12,0.15,0.24,0.34,0.86,0.23,0.31,0.26,0.14,5.42,0,0.18,0.19,1.95,0,0.23,0.41,2,0.19,0.23,3.09,0.52,0.94,4.8,1.14,0.42,0.22,0.77,0.11,0,0.34,0.61,0.28,0.26,1.61,0.9,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-03-2014,0.23,0.5,0.39,0.37,0.59,0.27,0,0.95,1.74,1.07,0.18,0.24,0.53,0.19,0.2,1.45,0.59,0.38,0.46,0.75,0.14,0.74,0.7,0.35,0.27,0.22,0.31,0.38,0.33,0.3,1.24,0.21,0.31,0.65,0.41,0.3,0.41,0.7,0.19,1.42,5.28,5.31,1.05,0.7,0.2,1.64,5.5,0,0.43,0.59,0,0.82,6.07,7.47,0.41,0,0.46,1.14,0.27,3.97,0.85,1.73,1,0.8,0.11,0.42,0.95,0.25,2.16,0.16,0.26,0.42,0.89,0.22,0.33,0.29,0.15,5.86,0,0.19,0.23,2.27,0,0.26,0.49,1.66,0.19,0.23,2.74,0.6,1.01,4.18,1.02,0.42,0.21,0.85,0.13,0,0.43,0.57,0.26,0.25,1.36,0.89,0.22,0.27,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-04-2014,0.23,0.46,0.44,0.37,0.58,0.26,0,0.88,1.8,0.98,0.19,0.25,0.6,0.19,0.19,1.49,0.55,0.37,0.45,0.76,0.16,0.77,0.71,0.37,0.26,0.23,0.28,0.38,0.34,0.24,1.31,0.21,0.3,0.64,0.39,0.32,0.38,0.64,0.19,1.44,5.36,5.12,1.01,0.66,0.2,1.54,5.5,0,0.42,0.54,0,0.78,5.88,7.22,0.36,0,0.48,1.17,0.3,4.04,0.9,1.89,0.97,0.84,0.12,0.46,0.92,0.24,2.2,0.17,0.24,0.45,0.89,0.28,0.31,0.3,0.15,5.89,0,0.18,0.21,2.46,0,0.24,0.47,1.82,0.19,0.23,2.85,0.55,1.02,4.28,1.04,0.41,0.2,0.79,0.15,0,0.45,0.55,0.26,0.25,1.31,0.88,0.31,0.28,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-05-2014,0.25,0.44,0.46,0.41,0.59,0.24,0,0.81,2.14,0.92,0.18,0.25,0.56,0.23,0.22,1.43,0.77,0.39,0.47,0.71,0.21,0.69,0.85,0.32,0.29,0.23,0.3,0.36,0.28,0.33,1.09,0.23,0.35,0.62,0.18,0.27,0.34,0.71,0.18,1.33,4.81,5.17,0.99,0.67,0.23,1.5,5.75,0,0.39,0.56,0,0.82,4.98,6.65,0.38,0,0.48,1.16,0.34,4.43,0.78,2,1.06,0.76,0.11,0.47,1.16,0.21,2.38,0.16,0.37,0.49,0.94,0.24,0.32,0.38,0.21,6.15,0,0.23,0.25,2.76,0,0.27,0.56,1.61,0.19,0.21,2.62,0.66,1.11,3.85,1,0.45,0.18,0.86,0.18,0,0.54,0.51,0.29,0.28,1.16,1.22,0.32,0.28,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-06-2014,0.25,0.46,0.42,0.42,0.56,0.25,0,0.89,2.12,1.03,0.19,0.26,0.55,0.21,0.26,1.33,0.75,0.41,0.52,0.72,0.22,0.74,0.84,0.33,0.29,0.24,0.29,0.34,0.31,0.32,1.11,0.22,0.38,0.72,0.18,0.27,0.34,0.73,0.17,1.34,5.15,5.08,1.05,0.7,0.23,1.46,5.45,0,0.45,0.56,0,0.83,5.22,5.99,0.39,0,0.46,1.12,0.33,4.61,0.83,1.75,1.07,0.61,0.1,0.48,1.07,0.22,2.53,0.18,0.37,0.49,1.02,0.27,0.32,0.41,0.25,5.55,0,0.25,0.26,2.76,0,0.28,0.5,1.72,0.2,0.23,2.58,0.65,1.17,4.12,1.06,0.49,0.15,0.88,0.2,0,0.58,0.53,0.26,0.28,1.19,1.2,0.34,0.29,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-07-2014,0.26,0.43,0.39,0.44,0.52,0.25,0,0.93,2.14,0.91,0.19,0.26,0.54,0.19,0.29,1.45,0.68,0.4,0.49,0.61,0.19,0.76,0.79,0.34,0.32,0.23,0.28,0.37,0.31,0.29,1.17,0.25,0.34,0.67,0.17,0.3,0.34,0.67,0.19,1.37,5.5,5.1,1.02,0.81,0.22,1.6,5.59,0,0.53,0.63,0,0.8,5.34,6.48,0.33,0,0.44,1.2,0.29,4.03,0.93,1.82,1.1,0.6,0.11,0.44,0.98,0.23,2.33,0.18,0.32,0.47,0.96,0.29,0.44,0.34,0.22,5.44,0,0.21,0.24,2.48,0,0.26,0.5,1.96,0.2,0.2,2.64,0.58,1.21,4.33,1.05,0.47,0.15,0.81,0.16,0,0.57,0.52,0.21,0.26,1.17,1.18,0.32,0.29,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-08-2014,0.25,0.44,0.42,0.47,0.5,0.28,0,0.9,2.11,0.96,0.2,0.26,0.52,0.19,0.31,1.63,0.69,0.43,0.57,0.59,0.17,0.83,0.74,0.33,0.31,0.22,0.3,0.41,0.32,0.25,1.19,0.24,0.33,0.66,0.17,0.32,0.39,0.69,0.2,1.39,5.36,5.01,0.99,0.7,0.24,1.67,5.73,0,0.54,0.58,0,0.8,5.53,6.27,0.27,0,0.44,1.41,0.29,3.96,0.98,2.06,1.17,0.39,0.12,0.43,0.9,0.24,2.48,0.18,0.29,0.45,0.91,0.32,0.37,0.29,0.19,5.23,0,0.17,0.21,2.42,0,0.23,0.48,2.05,0.21,0.19,3,0.5,1.09,4.1,1.13,0.48,0.15,0.83,0.17,0,0.59,0.48,0.24,0.28,1.18,1.04,0.3,0.29,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2014,0.28,0.41,0.41,0.45,0.52,0.27,0,0.9,2,1,0.21,0.27,0.54,0.16,0.32,1.77,0.57,0.43,0.54,0.56,0.16,1.01,0.71,0.37,0.32,0.23,0.29,0.39,0.36,0.21,1.3,0.25,0.34,0.66,0.19,0.32,0.39,0.71,0.21,1.46,5.24,5.16,1.08,0.64,0.25,1.67,5.25,0,0.55,0.55,0,0.85,5.72,6.5,0.2,0,0.41,1.37,0.31,3.77,1.06,1.98,1.28,0,0,0.41,0.91,0.23,2.32,0.18,0.27,0.42,0.94,0.31,0.31,0.27,0.16,4.92,0,0.16,0.18,2.39,0,0.23,0.49,2.04,0.22,0.2,2.86,0.48,0.97,4.43,1.18,0.54,0.15,0.85,0.15,0,0.57,0.54,0.24,0.27,1.24,1.01,0.32,0.32,0.2,0.41,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-10-2014,0.28,0.42,0.4,0.45,0.53,0.26,0,0.9,2.22,1.06,0.19,0.26,0.53,0.18,0.31,1.67,0.7,0.41,0.57,0.49,0.17,1.02,0.73,0.34,0.3,0.21,0.3,0.38,0.36,0.17,1.22,0.22,0.37,0.74,0.17,0.3,0.37,0.68,0.19,1.31,5.25,5.16,1.11,0.64,0.27,1.58,5.7,0,0.52,0.62,0,0.94,5.92,5.97,0.18,0,0.43,1.45,0.33,4.09,0.99,1.84,1.34,0,0,0.41,0.94,0.22,2.2,0.18,0.31,0.42,0.97,0.3,0.32,0.31,0.16,4.99,0,0.16,0.21,2.53,0,0.24,0.48,1.93,0.22,0.19,2.92,0.51,0.99,4.04,1.15,0.5,0.14,0.79,0.17,0,0.67,0.57,0.24,0.27,1.12,0.91,0.32,0.31,0.21,0.39,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-11-2014,0.28,0.4,0.37,0.44,0.52,0.26,0,0.99,2.36,1.04,0.2,0.26,0.6,0.18,0.35,1.55,0.75,0.5,0.56,0.43,0.17,0.94,0.68,0.36,0.29,0.2,0.34,0.39,0.32,0.19,1.34,0.22,0.38,0.66,0.18,0.34,0.35,0.66,0.19,1.31,5.33,5.24,1.1,0.65,0.29,1.63,5.94,0,0.52,0.62,0,0.95,6.16,5.91,0.15,0,0.39,1.51,0.37,3.91,1.04,1.78,1.29,0,0,0.32,0.86,0.21,1.99,0.17,0.33,0.47,0.92,0,0.3,0.33,0.17,4.78,0.24,0.14,0.22,2.91,0,0.24,0.53,1.85,0.22,0.19,2.8,0.49,0.92,3.95,1.16,0.45,0.15,0.74,0.16,0,0.67,0.61,0.25,0.24,1.12,0.75,0.3,0.38,0.26,0.43,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-12-2014,0.28,0.39,0.4,0.5,0.53,0.26,0,1.03,2.54,0.98,0.24,0.26,0.61,0.19,0.35,1.47,0.72,0.53,0.5,0.41,0.19,0.96,0.76,0.36,0.3,0.2,0.36,0.39,0.33,0.18,1.24,0.25,0.39,0.62,0.2,0.33,0.37,0.65,0.2,1.3,5.37,5.36,1.12,0.61,0.27,1.62,6.15,0,0.52,0.63,0,1.04,5.73,6.18,0.17,0,0.35,1.63,0.4,3.68,1.03,1.71,1.33,0,0,0.35,0.9,0.22,1.84,0.19,0.33,0.49,0.92,0,0.24,0.34,0.17,4.42,0.21,0.13,0.26,2.9,0,0.24,0.56,1.87,0.23,0.18,2.68,0.45,0.8,3.94,1.18,0.48,0.17,0.82,0.18,0,0.75,0.63,0.27,0.24,1.1,0.72,0.31,0.44,0.29,0.46,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-01-2015,0.28,0.41,0.49,0.5,0.54,0.28,0,1.1,2.8,0.91,0.25,0.24,0.51,0.16,0.36,1.47,0.75,0.61,0.55,0.38,0.18,1,0.67,0.35,0.3,0.19,0.34,0.41,0.31,0.22,1.16,0.24,0.34,0.56,0.2,0.29,0.38,0.7,0.18,1.37,5.63,5.73,0.98,0.51,0.31,1.87,5.93,0,0.49,0.65,0,1.07,5.87,5.83,0.16,0,0.31,1.61,0.41,3.94,1.08,1.65,1.37,0,0,0.32,0.84,0.21,1.79,0.15,0.3,0.4,0.92,0,0.23,0.32,0.16,4.28,0.2,0.13,0.23,2.71,0,0.26,0.54,1.96,0.23,0.18,2.98,0.46,0.74,3.6,1.25,0.51,0.18,0.91,0.15,0,0.79,0.58,0.2,0.21,1.13,0.64,0.31,0.44,0.29,0.47,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-02-2015,0.26,0.44,0.51,0.48,0.58,0.28,0,1.03,2.89,0.8,0.23,0.24,0.48,0.14,0.43,1.37,0.66,0.65,0.54,0.4,0.17,0.96,1.41,0.36,0.32,0.2,0.34,0.41,0.3,0.19,1.18,0.23,0.34,0.53,0.18,0.31,0.39,0.66,0.19,1.52,5.83,5.58,0.89,0.55,0.29,1.79,5.57,0,0.48,0.64,0,1.1,6.37,5.61,0.19,0,0.31,1.67,0.4,4.01,1.16,1.66,1.33,0,0,0.31,0.89,0.2,1.62,0.15,0.29,0.34,0.96,0,0.2,0.31,0.14,3.96,0.18,0.12,0.2,2.59,0,0.33,0.57,1.9,0.22,0.17,2.96,0.44,0.66,3.8,1.21,0.49,0.18,0.89,0.12,0,0.78,0.53,0.19,0.19,1.2,0.67,0.35,0.44,0,0.4,0.38,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
